Step, Time, RealTime, R(q[0]), R(q[1]), R(q[2]), R(q[3])
2560, 0, 19.6055, 0.000715636, 0.000418607, 0.000261381, 0.000325797
2570, 0, 19.6713, 0.000892315, 0.00046771, 0.000305164, 0.000379553
2580, 0, 19.736, 0.00152543, 0.00078161, 0.000511346, 0.000387199
2590, 0, 19.7974, 0.0011742, 0.000718906, 0.000441916, 0.000360024
2600, 0, 19.8751, 0.00101918, 0.000742023, 0.00042053, 0.000274823
2610, 0, 19.9677, 0.00106499, 0.000892116, 0.00030473, 0.000269218
2620, 0, 20.0533, 0.000794716, 0.000605153, 0.000213351, 0.00023265
2630, 0, 20.1203, 0.000475059, 0.000372164, 0.000163857, 0.000217952
2640, 0, 20.2002, 0.000340307, 0.000281269, 0.000126474, 0.000197102
2650, 0, 20.2957, 0.000283352, 0.000229548, 9.94414e-05, 0.000185952
2660, 0, 20.3874, 0.000250893, 0.000190542, 8.48037e-05, 0.000176069
2670, 0, 20.4802, 0.000233134, 0.000157887, 7.79752e-05, 0.000169116
2680, 0, 20.5606, 0.000230208, 0.000129895, 7.41524e-05, 0.000169216
2690, 0, 20.6281, 0.000234216, 0.000107994, 6.89403e-05, 0.000172428
2700, 0, 20.7197, 0.000243532, 9.15549e-05, 6.54964e-05, 0.000177847
2710, 0, 20.8082, 0.000263636, 8.05397e-05, 6.68348e-05, 0.000190882
2720, 0, 20.882, 0.000291471, 7.57881e-05, 7.34411e-05, 0.000207755
2730, 0, 20.9449, 0.000318129, 8.09769e-05, 8.39475e-05, 0.000223284
2740, 0, 21.0086, 0.000360505, 9.21349e-05, 9.98057e-05, 0.000237422
2750, 0, 21.0934, 0.000447221, 0.000127797, 0.000128766, 0.000257626
2760, 0, 21.1643, 0.000426056, 0.000141069, 0.000124575, 0.000255518
2770, 0, 21.2726, 0.000418247, 0.000154919, 0.000125638, 0.000259894
2780, 0, 21.3666, 0.000443509, 0.000158517, 0.000128093, 0.000264326
2790, 0, 21.4583, 0.000779674, 0.000201427, 0.00024915, 0.000419667
2800, 0, 21.5298, 0.0011434, 0.000625886, 0.000393321, 0.000293167
2810, 0, 21.6146, 0.000864505, 0.000534752, 0.00034243, 0.00026397
2820, 0, 21.6931, 0.000930874, 0.000629463, 0.000340782, 0.000240449
2830, 0, 21.7842, 0.000971506, 0.000736448, 0.000273614, 0.000244642
2840, 0, 21.8796, 0.000784865, 0.000548354, 0.000194069, 0.000234245
2850, 0, 21.9742, 0.00062257, 0.000365108, 0.000151693, 0.000251866
2860, 0, 22.045, 0.000762853, 0.000383555, 0.000232633, 0.000341265
2870, 0, 22.1174, 0.000509633, 0.000338536, 0.000230956, 0.00023728
2880, 0, 22.2097, 0.000426159, 0.000292744, 0.000195682, 0.000210082
2890, 0, 22.311, 0.000425833, 0.000310125, 0.000170583, 0.000215622
2900, 0, 22.4139, 0.000898044, 0.000302494, 0.000198452, 0.000297775
2910, 0, 22.5157, 0.000574918, 0.000318685, 0.000192624, 0.000168617
2920, 0, 22.6231, 0.00049727, 0.000286741, 0.000184303, 0.000135108
2930, 0, 22.7, 0.000526305, 0.00035581, 0.000196383, 0.000132076
2940, 0, 22.7733, 0.000640856, 0.000416999, 0.000211451, 0.000119614
2950, 0, 22.8444, 0.00064939, 0.000481026, 0.000237692, 0.000122453
2960, 0, 22.9117, 0.000501388, 0.000336063, 0.000159552, 0.000117231
2970, 0, 22.9933, 0.000364101, 0.000233433, 0.000116784, 0.00011506
2980, 0, 23.0873, 0.000271672, 0.000174952, 9.38627e-05, 0.000125456
2990, 0, 23.1834, 0.000243619, 0.00013507, 7.74554e-05, 0.000137852
3000, 0, 23.2886, 0.000242962, 0.000112502, 7.16283e-05, 0.000152729
3010, 0, 23.5614, 0.000257975, 0.000100122, 6.96114e-05, 0.000167728
3020, 0, 23.7118, 0.00029857, 9.29132e-05, 7.18619e-05, 0.000182568
3030, 0, 23.824, 0.000393698, 9.2936e-05, 7.98784e-05, 0.000213345
3040, 0, 23.9251, 0.000656671, 0.000327914, 0.000131962, 0.0002451
3050, 0, 24.04, 0.000471505, 0.000346462, 0.000161608, 0.000214115
3060, 0, 24.1436, 0.000441209, 0.000307381, 0.000166633, 0.000209927
3070, 0, 24.2586, 0.000474371, 0.000282789, 0.00016894, 0.000201958
3080, 0, 24.3654, 0.000552409, 0.000362147, 0.000195124, 0.00019497
3090, 0, 24.491, 0.000519157, 0.000357827, 0.000158749, 0.000197868
3100, 0, 24.5733, 0.000431003, 0.000246921, 0.000127338, 0.000192646
3110, 0, 24.6766, 0.00033272, 0.000174027, 0.00011147, 0.000186822
3120, 0, 24.7829, 0.00040892, 0.000185264, 0.000103262, 0.000170607
3130, 0, 24.8669, 0.000380325, 0.000158292, 8.53681e-05, 0.000164277
3140, 0, 24.9662, 0.000354593, 0.000136693, 8.22121e-05, 0.000154552
3150, 0, 25.0753, 0.000340473, 0.000147638, 7.94791e-05, 0.00014621
3160, 0, 25.1614, 0.000340222, 0.000146362, 7.23918e-05, 0.000136348
3170, 0, 25.2415, 0.000314616, 0.000145234, 8.47876e-05, 0.000132991
3180, 0, 25.3478, 0.000289135, 0.000125441, 7.73234e-05, 0.000119934
3190, 0, 25.4698, 0.000424134, 0.000144123, 9.91733e-05, 0.000143655
3200, 0, 25.5578, 0.000705666, 0.000252447, 0.000131889, 0.000174417
3210, 0, 25.6583, 0.000410471, 0.000289246, 0.000169899, 0.00012746
3220, 0, 25.7667, 0.000621027, 0.000235895, 0.000261515, 0.00034608
3230, 0, 25.8446, 0.000554113, 0.000286423, 0.000233503, 0.000188365
3240, 0, 25.9266, 0.000430818, 0.000263327, 0.000201137, 0.000103689
3250, 0, 26.008, 0.000473988, 0.000336945, 0.00019331, 0.000107102
3260, 0, 26.1128, 0.00048305, 0.000385757, 0.000155866, 0.000115733
3270, 0, 26.1968, 0.000407164, 0.000302367, 0.000112517, 0.000122788
3280, 0, 26.2867, 0.000426239, 0.000212066, 0.000135991, 0.000217462
3290, 0, 26.3666, 0.00118278, 0.000424057, 0.000399172, 0.000480532
3300, 0, 26.4583, 0.000585969, 0.00038916, 0.000242511, 0.000145283
3310, 0, 26.5595, 0.000595017, 0.000420767, 0.000235669, 0.000137456
3320, 0, 26.6566, 0.000684043, 0.000545875, 0.000225108, 0.000136395
3330, 0, 26.7737, 0.000624105, 0.000465416, 0.000141078, 0.000125592
3340, 0, 26.8773, 0.000380407, 0.000297028, 9.36299e-05, 0.000117136
3350, 0, 26.9712, 0.000283586, 0.000190288, 6.74821e-05, 0.000111353
3360, 0, 27.0774, 0.000254965, 0.000137981, 5.77169e-05, 0.000111325
3370, 0, 27.2043, 0.000249594, 0.000109178, 5.4596e-05, 0.000111597
3380, 0, 27.306, 0.000249467, 9.16282e-05, 5.03476e-05, 0.000110134
3390, 0, 27.3774, 0.000246118, 7.62141e-05, 4.71531e-05, 0.000107683
3400, 0, 27.4546, 0.000245413, 6.76365e-05, 4.49868e-05, 0.000106418
3410, 0, 27.5575, 0.000223273, 6.33161e-05, 4.48217e-05, 0.000105039
3420, 0, 27.6609, 0.000194613, 7.84554e-05, 5.09105e-05, 0.000110298
3430, 0, 27.7467, 0.000368176, 0.0001277, 8.25075e-05, 0.000143301
3440, 0, 27.809, 0.000562613, 0.000254703, 0.000180684, 0.0002253
3450, 0, 27.8751, 0.00035347, 0.000284356, 0.000161255, 0.000111972
