Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,p,rank,rho,rhoe,rhou,rhov,vtkValidPointMask
907,0.8000000119,0.06802500039,0,0.8028869033,0.206124872,0.001258967444,0,0.2061287165,0.06802500039,1.000286222,4,1.400285244,2.530463696,0.288633585,0.001762974425,1
908,0.8000000119,0.06810000539,0,0.802893281,0.2061230987,0.001258511911,0,0.2061269432,0.06810000539,1.000286222,4,1.400285244,2.530463219,0.2886311114,0.001762333675,1
909,0.8000000119,0.06817500293,0,0.8028996587,0.2061213106,0.001258056378,0,0.2061251551,0.06817500293,1.000286341,4,1.400285244,2.530462742,0.288628608,0.001761692925,1
910,0.8000000119,0.06825000048,0,0.8029060364,0.2061195225,0.001257600845,0,0.2061233521,0.06825000048,1.000286341,4,1.400285363,2.530462503,0.2886261344,0.001761052175,1
911,0.8000000119,0.06832500547,0,0.8029124141,0.2061177492,0.001257145312,0,0.2061215788,0.06832500547,1.000286341,4,1.400285363,2.530462027,0.2886236608,0.001760411425,1
912,0.8000000119,0.06840000302,0,0.8029187918,0.2061159611,0.001256689779,0,0.2061197907,0.06840000302,1.000286341,4,1.400285363,2.53046155,0.2886211574,0.001759770676,1
913,0.8000000119,0.06847500056,0,0.8029251695,0.2061141729,0.001256234245,0,0.2061180025,0.06847500056,1.00028646,4,1.400285482,2.530461073,0.2886186838,0.001759130042,1
914,0.8000000119,0.06855000556,0,0.8029316068,0.2061123997,0.001255778596,0,0.2061162293,0.06855000556,1.00028646,4,1.400285482,2.530460596,0.2886161804,0.001758489176,1
915,0.8000000119,0.0686250031,0,0.8029379845,0.2061106116,0.001255323063,0,0.2061144412,0.0686250031,1.00028646,4,1.400285482,2.530460358,0.2886137068,0.001757848542,1
916,0.8000000119,0.06870000064,0,0.8029444218,0.2061088234,0.001254867529,0,0.2061126381,0.06870000064,1.000286579,4,1.400285482,2.530459881,0.2886112034,0.001757207792,1
917,0.8000000119,0.06877500564,0,0.8029507995,0.2061070502,0.001254411996,0,0.2061108649,0.06877500564,1.000286579,4,1.400285602,2.530459404,0.2886087298,0.001756567042,1
918,0.8000000119,0.06885000318,0,0.8029572368,0.206105262,0.001253956463,0,0.2061090767,0.06885000318,1.000286579,4,1.400285602,2.530458927,0.2886062562,0.001755926292,1
919,0.8000000119,0.06892500073,0,0.8029636741,0.2061034739,0.00125350093,0,0.2061072886,0.06892500073,1.000286579,4,1.400285602,2.53045845,0.2886037529,0.001755285542,1
920,0.8000000119,0.06900000572,0,0.8029701114,0.2061016858,0.001253045397,0,0.2061055005,0.06900000572,1.000286698,4,1.400285721,2.530458212,0.2886012793,0.001754644793,1
921,0.8000000119,0.06907500327,0,0.8029765487,0.2060999125,0.001252589864,0,0.2061037123,0.06907500327,1.000286698,4,1.400285721,2.530457735,0.2885987759,0.001754004043,1
922,0.8000000119,0.06915000081,0,0.8029830456,0.2060981244,0.001252134331,0,0.2061019242,0.06915000081,1.000286698,4,1.400285721,2.530457258,0.2885963023,0.001753363409,1
923,0.8000000119,0.06922500581,0,0.8029894829,0.2060963362,0.001251678681,0,0.206100136,0.06922500581,1.000286698,4,1.400285721,2.530456781,0.2885937989,0.001752722543,1
924,0.8000000119,0.06930000335,0,0.8029959798,0.206094563,0.001251223264,0,0.2060983628,0.06930000335,1.000286818,4,1.40028584,2.530456305,0.2885913253,0.001752081909,1
925,0.8000000119,0.06937500089,0,0.8030024171,0.2060927749,0.001250767731,0,0.2060965747,0.06937500089,1.000286818,4,1.40028584,2.530456066,0.2885888517,0.001751441159,1
926,0.8000000119,0.06945000589,0,0.803008914,0.2060909867,0.001250312082,0,0.2060947865,0.06945000589,1.000286818,4,1.40028584,2.530455589,0.2885863483,0.001750800409,1
927,0.8000000119,0.06952500343,0,0.8030154109,0.2060892135,0.001249856548,0,0.2060929984,0.06952500343,1.000286937,4,1.40028584,2.530455112,0.2885838747,0.001750159659,1
928,0.8000000119,0.06960000098,0,0.8030219078,0.2060874254,0.001249401015,0,0.2060912102,0.06960000098,1.000286937,4,1.400285959,2.530454636,0.2885813713,0.001749518909,1
929,0.8000000119,0.06967500597,0,0.8030284047,0.2060856372,0.001248945482,0,0.2060894221,0.06967500597,1.000286937,4,1.400285959,2.530454159,0.2885788977,0.00174887816,1
930,0.8000000119,0.06975000352,0,0.8030349016,0.206083864,0.001248489949,0,0.2060876489,0.06975000352,1.000286937,4,1.400285959,2.53045392,0.2885764241,0.00174823741,1
931,0.8000000119,0.06982500106,0,0.8030414581,0.2060820758,0.001248034416,0,0.2060858607,0.06982500106,1.000287056,4,1.400286078,2.530453444,0.2885739207,0.001747596776,1
932,0.8000000119,0.06990000606,0,0.803047955,0.2060802877,0.001247578883,0,0.2060840577,0.06990000606,1.000287056,4,1.400286078,2.530452967,0.2885714471,0.00174695591,1
933,0.8000000119,0.0699750036,0,0.8030545115,0.2060784996,0.001247123349,0,0.2060822695,0.0699750036,1.000287056,4,1.400286078,2.53045249,0.2885689437,0.001746315276,1
934,0.8000000119,0.07005000114,0,0.8030610085,0.2060767263,0.001246667816,0,0.2060804963,0.07005000114,1.000287056,4,1.400286078,2.530452013,0.2885664701,0.001745674526,1
935,0.8000000119,0.07012500614,0,0.803067565,0.2060749084,0.001246213447,0,0.2060786784,0.07012500614,1.000287175,4,1.400286198,2.530451775,0.2885639369,0.001745035988,1
936,0.8000000119,0.07020000368,0,0.8030741215,0.2060730308,0.001245761057,0,0.2060768008,0.07020000368,1.000287175,4,1.400286198,2.530451298,0.2885613143,0.001744400943,1
937,0.8000000119,0.07027500123,0,0.803080678,0.2060711682,0.001245308667,0,0.2060749382,0.07027500123,1.000287175,4,1.400286198,2.530450821,0.2885586917,0.001743765897,1
938,0.8000000119,0.07035000622,0,0.8030872345,0.2060693055,0.001244856277,0,0.2060730606,0.07035000622,1.000287294,4,1.400286317,2.530450344,0.2885560989,0.001743130735,1
939,0.8000000119,0.07042500377,0,0.8030938506,0.206067428,0.001244403888,0,0.2060711831,0.07042500377,1.000287294,4,1.400286317,2.530449867,0.2885534763,0.00174249569,1
940,0.8000000119,0.07050000131,0,0.8031004071,0.2060655653,0.001243951498,0,0.2060693204,0.07050000131,1.000287294,4,1.400286317,2.53044939,0.2885508537,0.001741860644,1
941,0.8000000119,0.07057500631,0,0.8031070232,0.2060637027,0.001243499108,0,0.2060674578,0.07057500631,1.000287294,4,1.400286317,2.530448914,0.2885482609,0.001741225598,1
942,0.8000000119,0.07065000385,0,0.8031135798,0.2060618252,0.001243046718,0,0.2060655802,0.07065000385,1.000287414,4,1.400286436,2.530448437,0.2885456383,0.001740590553,1
